title,description,due_date,priority,status
Follow up with John,Schedule demo for new platform features,2026-04-15,high,pending
Send proposal to Jane,Finalize pricing and send PDF,2026-04-12,high,pending
Quarterly review with Bob,Review contract terms for renewal,2026-04-20,medium,pending
Onboarding checklist for Charlie,Complete setup and training,2026-04-08,high,in_progress
Research Agency Pro needs,Gather requirements from discovery call,2026-04-18,low,pending
DataFlow technical demo,Prepare ML pipeline demo environment,2026-04-25,high,pending
FinTech security review,Schedule security team walkthrough,2026-05-01,medium,pending
Enterprise Global kickoff,Plan implementation kickoff meeting,2026-04-30,high,pending
WebWorks proposal,Create website redesign proposal,2026-04-22,medium,in_progress
Legal LLP contract,Draft compliance system agreement,2026-05-05,medium,pending
